iter	Logloss
0	0.6024877711
1	0.5305078334
2	0.4845245797
3	0.4421794027
4	0.4209076331
5	0.400061608
6	0.3865269604
7	0.377185328
8	0.3622375195
9	0.3546363902
10	0.3465261504
11	0.3413522841
12	0.3335819529
13	0.3241545092
14	0.3207486101
15	0.3163324596
16	0.3080447385
17	0.3033319903
18	0.2983545528
19	0.2950006058
20	0.2901694052
21	0.2855561595
22	0.2803950823
23	0.2733348637
24	0.2699053813
25	0.2653777133
26	0.2622313388
27	0.2579649073
28	0.2542232484
29	0.2498859553
30	0.2470819632
31	0.2445706519
32	0.2409289612
33	0.2393238172
34	0.236575088
35	0.2317321669
36	0.2302224469
37	0.2280202842
38	0.2258423195
39	0.2235550575
40	0.2220750835
41	0.2194673191
42	0.2187161096
43	0.2180834806
44	0.2155936235
45	0.2125720177
46	0.2102024498
47	0.2074792522
48	0.2065452688
49	0.2037475874
50	0.2032548688
51	0.2016700901
52	0.1998099128
53	0.1963877117
54	0.195089604
55	0.1941916979
56	0.1918321395
57	0.190296489
58	0.1877642571
59	0.1857696334
60	0.1839711556
61	0.1824253566
62	0.1798675634
63	0.178213913
64	0.176282434
65	0.1739636149
66	0.1715924023
67	0.1692666407
68	0.1679573525
69	0.1662769511
70	0.1633898074
71	0.1616180562
72	0.160283598
73	0.1591885369
74	0.1568342769
75	0.1562984797
76	0.1537619298
77	0.152127075
78	0.1505058785
79	0.1480853166
80	0.1463002099
81	0.1446961746
82	0.1432071097
83	0.1423282924
84	0.1407915482
85	0.1396190564
86	0.1388640026
87	0.1380559452
88	0.1366510937
89	0.1353177669
90	0.1345489202
91	0.1329650581
92	0.1315704555
93	0.130384522
94	0.1286968928
95	0.127372392
96	0.1263456049
97	0.1251834397
98	0.1243601705
99	0.1237091296
100	0.1225092493
101	0.1217063414
102	0.1200053153
103	0.1187811176
104	0.1168064976
105	0.1164379113
106	0.1157132978
107	0.1144593221
108	0.1135427027
109	0.1129416311
110	0.1115214277
111	0.1107113504
112	0.1089963862
113	0.1076319209
114	0.1069521619
115	0.1059076001
116	0.1052054486
117	0.104438681
118	0.1039158445
119	0.1031469259
120	0.1021010516
121	0.1011260588
122	0.1000215032
123	0.0996576849
124	0.09928136042
125	0.09858193459
126	0.09783998395
127	0.09699485957
128	0.09641878534
129	0.09570802485
130	0.09514298069
131	0.09473365561
132	0.09358345181
133	0.09277261186
134	0.09177551497
135	0.09153666061
136	0.09115399898
137	0.09080470203
138	0.08986770546
139	0.08943328825
140	0.08901881379
141	0.08863210905
142	0.08763711082
143	0.08733548366
144	0.08703471633
145	0.08654409744
146	0.08609593609
147	0.08559681135
148	0.0854266414
149	0.08481928949
150	0.08423480317
151	0.08352438996
152	0.08298962757
153	0.082462383
154	0.08200978839
155	0.08174862857
156	0.08131665402
157	0.08107171129
158	0.0808052543
159	0.0801503279
160	0.07964093188
161	0.07908985343
162	0.07875883544
163	0.07843646117
164	0.07831070729
165	0.07744517318
166	0.07690792662
167	0.07626638587
168	0.07584863986
169	0.07539394872
170	0.07519158723
171	0.07484853045
172	0.07430285382
173	0.07415412033
174	0.07387456463
175	0.07313475727
176	0.07235199142
177	0.07193240367
178	0.07171372776
179	0.07131990197
180	0.07099727773
181	0.0699747061
182	0.06967168936
183	0.06937557345
184	0.06888835837
185	0.06864002714
186	0.06840721838
187	0.06828191029
188	0.0680952733
189	0.06776082996
190	0.06742353271
191	0.06725314519
192	0.06678009561
193	0.06661573608
194	0.06635395151
195	0.06606329494
196	0.06586408881
197	0.06573171371
198	0.06564100886
199	0.06522317606
